Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Employee Statement,Age_status,Salary_status,Gender_status,Department_status,Position_status,Joining Date_status,Performance Score_status,Employee Statement_status,Salary_validated,Gender_validated,Position_validated,Joining Date_validated,Performance Score_validated,Department_validated,Age_validated,Employee Statement_validated
thirty,65000,Female,HR,Director,3/25/2019,C,"I find my daily tasks engaging, through experience working with different people, as part of normal operations.",0,6,6,0,0,0,0,0,,,,,,,,
,70000,Female,Finance,Manager,2/20/2020,A,"I find my daily tasks engaging, through experience working with different people, during ongoing work cycles.",5,0,0,0,0,0,0,0,,,,,,,,
50,55000,Other,IT,Clerk,3/25/2019,C,"I find my daily tasks engaging, through experience working with different people, while handling routine duties.",6,6,0,0,0,6,0,0,,,,,,,,
35,SIXTY THOUSAND,Other,Marketing,Analyst,05-Apr-18,A,"I find my daily tasks engaging, through experience working with different people, as part of my regular workflow.",6,6,6,6,0,0,6,0,,,,,,,,
25, NAN ,Female,Marketing,Manager,2019.12.01,C,"I find my daily tasks engaging, as I learned to handle feedback constructively, over the past months.",0,5,6,6,0,0,0,0,,,,,,,,
35, NAN ,Male,IT,Assistant,3/25/2019,C,"I find my daily tasks engaging, as I learned to handle feedback constructively, during my time in this role.",6,5,0,0,0,0,0,0,,,,,,,,
40,55000,Male,HR,Clerk,3/25/2019,B,MA,0,6,0,0,0,0,6,7,,,,,,,,
,65000,Male,Finance,Clerk,05-Apr-18,F,"I find my daily tasks engaging, as I learned to handle feedback constructively, while adapting to daily routines.",5,0,0,0,0,0,0,0,,,,,,,,
35,55000,Male,Finance,Assistant,3/25/2019,D,"I find my daily tasks engaging, as I learned to handle feedback constructively, through regular collaboration.",6,6,6,6,0,0,0,0,,,,,,,,
thirty, NAN ,Male,Marketing,Assistant,1/15/2020,D,"I find my daily tasks engaging, as I learned to handle feedback constructively, while working on assigned tasks.",0,5,6,0,0,0,6,0,,,,,,,,
40,50000,Other,Finance,Assistant,05-Apr-18,D,"I find my daily tasks engaging, as I learned to handle feedback constructively, as part of normal operations.",6,0,6,0,0,6,6,0,,,,,,,,
40,SIXTY THOUSAND,Female,IT,Analyst,1/15/2020,A,"I find my daily tasks engaging, as I learned to handle feedback constructively, during ongoing work cycles.",0,0,6,6,0,0,0,0,,,,,,,,
35,55000,Other,HR,Director,05-Apr-18,D,"I find my daily tasks engaging, as I learned to handle feedback constructively, while handling routine duties.",6,0,6,0,0,0,6,0,,,,,,,,
35, NAN ,Male,IT,Clerk,3/25/2019,D,"I find my daily tasks engaging, as I learned to handle feedback constructively, as part of my regular workflow.",0,5,0,0,0,6,0,0,,,,,,,,
,65000,Male,Sales,Director,1/15/2020,B,"I find my daily tasks engaging, by becoming more aware of priorities, over the past months.",5,0,0,0,6,0,0,0,,,,,,,,
25, NAN ,Male,Marketing,Director,3/25/2019,C,"I find my daily tasks engaging, by becoming more aware of priorities, during my time in this role.",0,5,0,0,6,6,0,0,,,,,,,,
35,65000,Male,Finance,Assistant,05-Apr-18,D,"I find my daily tasks engaging, by becoming more aware of priorities, as I settled into my responsibilities.",6,6,6,0,0,6,0,0,,,,,,,,
35,55000,Female,Sales,Analyst,3/25/2019,F,"I find my daily tasks engaging, by becoming more aware of priorities, while adapting to daily routines.",0,0,0,0,0,6,0,0,,,,,,,,
50,65000,Male,Finance,Manager,1/15/2020,D,"I find my daily tasks engaging, by becoming more aware of priorities, through regular collaboration.",6,0,0,6,0,0,0,0,,,,,,,,
thirty,70000,Female,HR,Analyst,1/15/2020,A,"I find my daily tasks engaging, by becoming more aware of priorities, while working on assigned tasks.",6,0,6,0,6,6,0,0,,,,,,,,
50,70000,Male,HR,Director,3/25/2019,A,"I find my daily tasks engaging, by becoming more aware of priorities, as part of normal operations.",0,6,0,6,0,0,0,0,,,,,,,,
